address ,Time of first entry,First entry amount,First entry amount
0x4ca8f17c89943a76d9daf71c4b9663b4f7a32c5c,2023-04-09 15:01:23.000 UTC,5.2194E+16,0.052194
0x4cc68bc6afd164874fee7a853d644f7cd9b7022b,2023-04-09 18:04:11.000 UTC,5.2705E+16,0.052705
0x50a6caa141a81c4148767d1740f67801a1d5f3ff,2023-04-09 19:15:47.000 UTC,5.0426E+16,0.050426
0x525ef7ceebc4bb8b0544bfb1b76c567ee7323f34,2023-04-09 16:05:47.000 UTC,5.0218E+16,0.050218
0x532a7fc1779efa4357f38f48b0c15ca15b1ca316,2023-04-09 18:30:59.000 UTC,5.2475E+16,0.052475
0x553e5e85b2070e8f4b7ec66816e861a93cd2cb79,2023-04-09 14:16:23.000 UTC,5.1769E+16,0.051769
0x57a2b7a38e86a76c2a0a5ff7a1ec41e974686f82,2023-04-09 12:32:23.000 UTC,5.0428E+16,0.050428
0x5878081da8109558896f211bb2849a8d1abfbb0a,2023-04-09 11:19:47.000 UTC,5.1145E+16,0.051145
0x5a7d76bf0358663d0350fca3a941dd01f462b5aa,2023-04-09 14:57:59.000 UTC,5.2957E+16,0.052957
0x5ac407afd0b06d3ea4f8a00b094cae8e3393f191,2023-04-09 15:00:23.000 UTC,5.2272E+16,0.052272
0x5ced8055defabc2cc26aaa4309b9ce0a2eed1281,2023-04-09 15:37:47.000 UTC,5.2695E+16,0.052695
0x5f09e81d335a5611a5cdd2862f8d0f5472052637,2023-04-09 15:38:11.000 UTC,5.2021E+16,0.052021
0x5feba147d72947bd1499bbbccead19227b69d64d,2023-04-09 18:53:35.000 UTC,5.0434E+16,0.050434
0x6026757f40947790d2b04dd4f789df0f3fe11464,2023-04-09 19:50:59.000 UTC,5.0738E+16,0.050738
0x602c86d80d5c29c43e4c1744a71285870db881c5,2023-04-09 12:32:47.000 UTC,5.0004E+16,0.050004
0x603682eedaeb47177cf293b1b1e3899d43daf6f0,2023-04-09 14:05:59.000 UTC,5.2046E+16,0.052046
0x614ff3e87749b1a22fe4ce0a7b2cfbad90f2ec2b,2023-04-09 14:16:11.000 UTC,5.0118E+16,0.050118
0x61b6d647e9bb2666e8a9c3c64f29d4a10fa16315,2023-04-09 17:54:11.000 UTC,5.0259E+16,0.050259
0x67b3ef72426c5546b817243de4f3fa89170d84a3,2023-04-09 15:10:23.000 UTC,5.2775E+16,0.052775
0x67f72316b8f2e7612ad4fb291ccf100e5cc062df,2023-04-09 15:52:35.000 UTC,5.0465E+16,0.050465
0x685b3277522bd54af5711628be84f57a45f02680,2023-04-09 14:43:35.000 UTC,5.0533E+16,0.050533
0x68cdf17130c1ee5051b654f13ba68c5b15bc0bc4,2023-04-09 13:36:59.000 UTC,5.1368E+16,0.051368
0x69193341e8194104e722ff6f70fcb73465ec992a,2023-04-09 21:01:59.000 UTC,5.0199E+16,0.050199
0x6ba868a48d97f739d9de4030a355f0aed32edbfb,2023-04-09 19:34:23.000 UTC,5.1233E+16,0.051233
